Month ,Total Gross ,% Of Year ,Avg. ,Top Movie of the Month ,Gross ,% Of Total
1/1/2000,591410000,8%,"$3,969,195 ",Stuart Little,"$51,424,419 ",9%
2/1/2000,511350000,7%,"$3,277,885 ",Scream 3,"$79,050,098 ",15%
3/1/2000,511830000,7%,"$2,812,253 ",Erin Brockovich,"$66,216,976 ",13%
4/1/2000,524030000,7%,"$2,994,457 ",Rules of Engagement,"$50,228,672 ",10%
5/1/2000,637500000,8%,"$3,863,636 ",Gladiator (2000),"$129,437,265 ",20%
6/1/2000,670600000,9%,"$4,089,024 ",Mission: Impossible II,"$93,457,421 ",14%
7/1/2000,1002280000,13%,"$6,001,677 ",The Perfect Storm,"$145,729,488 ",15%
8/1/2000,669150000,9%,"$4,031,024 ",Space Cowboys,"$65,904,566 ",10%
9/1/2000,401710000,5%,"$2,081,399 ",Bring It On,"$36,500,372 ",9%
10/1/2000,455860000,6%,"$2,279,300 ",Meet the Parents,"$101,855,632 ",22%
11/1/2000,726570000,10%,"$3,970,328 ",How the Grinch Stole Christmas (2000),"$144,900,885 ",20%
12/1/2000,809840000,11%,"$4,735,906 ",What Women Want (2000),"$110,190,677 ",14%
1/1/2001,705370000,9%,"$4,967,394 ",Traffic,"$57,039,728 ",8%
2/1/2001,579390000,7%,"$3,862,600 ",Hannibal,"$61,798,196 ",11%
3/1/2001,514720000,6%,"$3,278,471 ",The Mexican,"$61,564,103 ",12%
4/1/2001,493490000,6%,"$2,836,149 ",Kingdom Come,"$19,034,850 ",4%
5/1/2001,616710000,8%,"$3,806,852 ",The Mummy Returns,"$173,427,459 ",28%
6/1/2001,808350000,10%,"$4,928,963 ",Shrek,"$105,366,757 ",13%
7/1/2001,972720000,12%,"$5,967,607 ",Jurassic Park III,"$130,141,103 ",13%
8/1/2001,863110000,11%,"$4,989,075 ",Rush Hour 2,"$170,637,233 ",20%
9/1/2001,442590000,5%,"$2,486,461 ",American Pie 2,"$25,722,455 ",6%
10/1/2001,464400000,6%,"$2,299,010 ",K-PAX,"$20,418,233 ",4%
11/1/2001,805110000,10%,"$3,966,059 ",Harry Potter and the Sorcerer's Stone,"$202,112,396 ",25%
12/1/2001,849570000,10%,"$4,424,844 ",The Lord of the Rings: The Fellowship of the Ring,"$163,866,875 ",19%
1/1/2002,726960000,8%,"$4,226,512 ",The Lord of the Rings: The Fellowship of the Ring,"$96,702,983 ",13%
2/1/2002,592510000,7%,"$3,505,976 ",John Q.,"$43,142,666 ",7%
3/1/2002,767790000,8%,"$4,265,500 ",Ice Age,"$116,863,818 ",15%
4/1/2002,552860000,6%,"$2,632,667 ",The Scorpion King,"$63,404,991 ",11%
5/1/2002,923250000,10%,"$4,375,592 ",Spider-Man (2002),"$343,220,573 ",37%
6/1/2002,927390000,10%,"$4,985,968 ",Scooby-Doo,"$123,948,409 ",13%
7/1/2002,961050000,11%,"$5,460,511 ",Men in Black II,"$176,331,137 ",18%
8/1/2002,810210000,9%,"$4,286,825 ",Signs,"$186,953,858 ",23%
9/1/2002,491420000,5%,"$2,385,534 ",My Big Fat Greek Wedding,"$62,786,924 ",13%
10/1/2002,557390000,6%,"$2,580,509 ",Red Dragon,"$86,316,645 ",15%
11/1/2002,915430000,10%,"$4,718,711 ",Harry Potter and the Chamber of Secrets,"$193,447,722 ",21%
12/1/2002,872760000,10%,"$4,987,200 ",The Lord of the Rings: The Two Towers,"$218,595,199 ",25%
